timestamp,open_price,high_price,low_price,close_price,volume
2025-06-16 14:00:00,1.4056,1.4141,1.3990,1.4005,2556253
2025-06-16 15:00:00,1.4005,1.4096,1.3938,1.3960,1804818
2025-06-16 16:00:00,1.3960,1.4089,1.3960,1.4009,1917408
2025-06-16 17:00:00,1.4012,1.4200,1.3952,1.4056,2716537
2025-06-16 18:00:00,1.4056,1.4190,1.4023,1.4177,1370670
2025-06-16 19:00:00,1.4177,1.4259,1.4134,1.4219,1715243
2025-06-16 20:00:00,1.4219,1.4417,1.4174,1.4378,2480622
2025-06-16 21:00:00,1.4378,1.4516,1.4324,1.4510,2332945
2025-06-16 22:00:00,1.4508,1.4555,1.4244,1.4325,5396040
2025-06-16 23:00:00,1.4324,1.4494,1.3855,1.3901,5571542
2025-06-17 00:00:00,1.3901,1.4048,1.3680,1.4029,6488529
2025-06-17 01:00:00,1.4030,1.4434,1.4017,1.4134,5428082
2025-06-17 02:00:00,1.4134,1.4203,1.3943,1.4179,2758841
2025-06-17 03:00:00,1.4180,1.4288,1.4019,1.4069,1735697
2025-06-17 04:00:00,1.4070,1.4115,1.3956,1.4104,1191792
2025-06-17 05:00:00,1.4103,1.4138,1.3900,1.3931,1343002
2025-06-17 06:00:00,1.3930,1.3953,1.3798,1.3887,1516637
2025-06-17 07:00:00,1.3886,1.3942,1.3816,1.3861,1321115
2025-06-17 08:00:00,1.3862,1.3909,1.3752,1.3820,1541892
2025-06-17 09:00:00,1.3820,1.3875,1.3708,1.3777,1862049
2025-06-17 10:00:00,1.3777,1.3809,1.3638,1.3726,1845092
2025-06-17 11:00:00,1.3727,1.3730,1.3545,1.3626,1571269
2025-06-17 12:00:00,1.3626,1.3665,1.3513,1.3604,1647650
2025-06-17 13:00:00,1.3604,1.3772,1.3597,1.3696,1497641
2025-06-17 14:00:00,1.3696,1.3787,1.3554,1.3567,1849457
2025-06-17 15:00:00,1.3566,1.3566,1.3200,1.3320,5429778
2025-06-17 16:00:00,1.3320,1.3342,1.3058,1.3087,3491565
2025-06-17 17:00:00,1.3085,1.3257,1.3050,1.3136,2524614
2025-06-17 18:00:00,1.3137,1.3266,1.3077,1.3265,1439856
2025-06-17 19:00:00,1.3266,1.3460,1.3245,1.3381,2166633
2025-06-17 20:00:00,1.3382,1.3420,1.3304,1.3332,1156237
2025-06-17 21:00:00,1.3333,1.3372,1.3236,1.3323,1277610
2025-06-17 22:00:00,1.3324,1.3346,1.3203,1.3226,1100225
2025-06-17 23:00:00,1.3226,1.3382,1.3222,1.3321,1018662
2025-06-18 00:00:00,1.3321,1.3381,1.3209,1.3339,1594243
2025-06-18 01:00:00,1.3339,1.3395,1.3206,1.3224,1156175
2025-06-18 02:00:00,1.3225,1.3302,1.3167,1.3199,1361745
2025-06-18 03:00:00,1.3200,1.3317,1.3174,1.3279,1079113
2025-06-18 04:00:00,1.3279,1.3439,1.3279,1.3389,1247681
2025-06-18 05:00:00,1.3390,1.3406,1.3307,1.3319,718624
2025-06-18 06:00:00,1.3320,1.3439,1.3306,1.3410,1125831
2025-06-18 07:00:00,1.3411,1.3430,1.3303,1.3409,1309970
2025-06-18 08:00:00,1.3410,1.3557,1.3334,1.3509,1982389
2025-06-18 09:00:00,1.3509,1.3553,1.3208,1.3220,2211357
2025-06-18 10:00:00,1.3220,1.3224,1.2541,1.2681,10536960
2025-06-18 11:00:00,1.2681,1.2890,1.2672,1.2881,2771342
2025-06-18 12:00:00,1.2880,1.2978,1.2827,1.2868,2683886
2025-06-18 13:00:00,1.2868,1.2944,1.2664,1.2923,3586806
2025-06-18 14:00:00,1.2923,1.3164,1.2871,1.3037,4003120
2025-06-18 15:00:00,1.3038,1.3117,1.2966,1.3055,1540460
2025-06-18 16:00:00,1.3054,1.3054,1.2852,1.2908,1885005
